GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMRIE001,AMRIE002,AMRIE003,AMRIE004,AMRIE005,AMRIE006,AMRIE007,AMRIE008,AMRIE009,AMRIE010,AMRIE011,AMRIE012,AMRIE013,AMRIE014,AMRIE015,AMRIE016,AMRIE017,NAME_M,AMRIM001,AMRIM002,AMRIM003,AMRIM004,AMRIM005,AMRIM006,AMRIM007,AMRIM008,AMRIM009,AMRIM010,AMRIM011,AMRIM012,AMRIM013,AMRIM014,AMRIM015,AMRIM016,AMRIM017
"G0800910","2016-2020","CO",,,"Colorado","08","Ouray County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08091",,,"Ouray County, Colorado",2259,1254,283,971,199,14,185,460,320,47,58,35,346,254,17,36,39,"Ouray County, Colorado",136,137,76,125,106,18,103,95,90,39,31,30,94,85,17,24,28
"G0800930","2016-2020","CO",,,"Colorado","08","Park County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08093",,,"Park County, Colorado",6987,4746,849,3897,309,22,287,757,451,75,185,46,1175,898,73,77,127,"Park County, Colorado",390,388,158,359,153,19,151,208,159,55,122,51,253,210,59,50,79
"G0800950","2016-2020","CO",,,"Colorado","08","Phillips County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08095",,,"Phillips County, Colorado",1737,988,530,458,45,20,25,302,183,46,62,11,402,318,11,67,6,"Phillips County, Colorado",169,137,126,92,26,21,15,75,51,43,37,14,129,106,12,72,10
"G0800970","2016-2020","CO",,,"Colorado","08","Pitkin County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08097",,,"Pitkin County, Colorado",7424,3013,1175,1838,594,19,575,1738,1003,421,169,145,2079,1559,112,159,249,"Pitkin County, Colorado",403,427,279,339,277,29,274,332,277,210,115,73,366,337,88,147,147
"G0800990","2016-2020","CO",,,"Colorado","08","Prowers County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08099",,,"Prowers County, Colorado",4900,2275,1065,1210,319,189,130,1262,750,274,216,22,1044,807,31,161,45,"Prowers County, Colorado",220,229,206,136,126,83,82,200,150,102,90,22,165,158,34,103,49
"G0801010","2016-2020","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08101",,,"Pueblo County, Colorado",65206,27989,9453,18536,4165,1541,2624,19595,11610,3495,3822,668,13457,9617,1267,1665,908,"Pueblo County, Colorado",530,953,621,792,508,340,389,731,611,479,417,181,694,648,247,282,189
"G0801030","2016-2020","CO",,,"Colorado","08","Rio Blanco County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08103",,,"Rio Blanco County, Colorado",2513,1343,561,782,79,42,37,538,364,66,96,12,553,460,37,36,20,"Rio Blanco County, Colorado",158,180,120,114,50,35,34,97,93,47,62,14,117,111,31,32,24
"G0801050","2016-2020","CO",,,"Colorado","08","Rio Grande County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08105",,,"Rio Grande County, Colorado",4737,2383,755,1628,228,78,150,1208,862,239,93,14,918,771,45,62,40,"Rio Grande County, Colorado",244,247,149,263,86,49,78,200,173,149,57,20,211,212,38,47,25
"G0801070","2016-2020","CO",,,"Colorado","08","Routt County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08107",,,"Routt County, Colorado",10100,5457,1983,3474,553,30,523,2114,1354,336,226,198,1976,1362,98,97,419,"Routt County, Colorado",391,398,242,373,145,22,144,289,267,145,79,95,260,249,47,73,137
"G0801090","2016-2020","CO",,,"Colorado","08","Saguache County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08109",,,"Saguache County, Colorado",2803,1379,503,876,76,27,49,713,407,131,148,27,635,537,39,36,23,"Saguache County, Colorado",171,214,137,157,45,28,33,130,114,64,60,26,134,125,36,26,18
"G0801110","2016-2020","CO",,,"Colorado","08","San Juan County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08111",,,"San Juan County, Colorado",297,135,36,99,29,0,29,64,46,3,5,10,69,65,4,0,0,"San Juan County, Colorado",71,55,31,46,21,12,21,30,27,4,7,11,41,41,6,12,12
"G0801130","2016-2020","CO",,,"Colorado","08","San Miguel County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08113",,,"San Miguel County, Colorado",3604,1694,634,1060,163,9,154,731,428,96,69,138,1016,749,74,45,148,"San Miguel County, Colorado",180,169,110,121,51,9,51,100,77,51,47,54,125,117,46,38,60
"G0801150","2016-2020","CO",,,"Colorado","08","Sedgwick County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08115",,,"Sedgwick County, Colorado",954,447,183,264,36,17,19,242,141,76,15,10,229,213,2,14,0,"Sedgwick County, Colorado",80,54,45,48,24,20,11,60,42,51,8,6,59,57,4,12,12
